src,dst
Aku Visuri,Denzil Ferreira
Denzil Ferreira,Sang Won (Grace) Bae
Denzil Ferreira,Theodoros (Thodoris) Anagnostopoulos
Denzil Ferreira,Yong liu
Denzil Ferreira,Huber Flores
Denzil Ferreira,Simon Klakegg
Denzil Ferreira,Yuuki Nishiyama
Denzil Ferreira,Tammy Chung
Denzil Ferreira,Zhanna Sarsenbayeva
Denzil Ferreira,Jakob Rogstadius
Brian Suffoletto,Denzil Ferreira
Carissa Low,Denzil Ferreira
Afsaneh Doryab,Denzil Ferreira
Denzil Ferreira,Hanna-Leena Huttunen
Denzil Ferreira,Katarzyna Wac
Georgi V. Georgiev,Yukari Nagai
Georgi V. Georgiev,Iván Sánchez Milara
Georgi V. Georgiev,Jukka Riekki
Danko D. Georgiev,Georgi V. Georgiev
Georgi V. Georgiev,Hernan Casakin
Georgi V. Georgiev,Morita Junya
Denzil Ferreira,Georgi V. Georgiev
Deny Willy Junaidy,Georgi V. Georgiev
Amaresh Chakrabarti,Georgi V. Georgiev
Georgi V. Georgiev,Yazan Barhoush
Georgi V. Georgiev,Ian Gwilt
Gaetano Cascini,Georgi V. Georgiev
Georgi V. Georgiev,Matti Pouke
Georgi V. Georgiev,Susanna Pirttikangas
Ekaterina Gilman,Georgi V. Georgiev
Georgi V. Georgiev,Piiastiina Tikka
Georgi V. Georgiev,Zhengya Gong
Georgi V. Georgiev,Teemu Leppänen
Georgi V. Georgiev,Niels van Berkel
Georgi V. Georgiev,Vassilis Kostakos
Jorge Goncalves,Simo Hosio
Simo Hosio,Vassilis Kostakos
Niels van Berkel,Simo Hosio
Hannu Kukka,Simo Hosio
Marko Jurmu,Simo Hosio
Simo Hosio,Yong liu
Simo Hosio,Tommi Heikkinen
Jonas Oppenlaender,Simo Hosio
Simo Hosio,Simon Klakegg
Simo Hosio,Theodoros (Thodoris) Anagnostopoulos
Aku Visuri,Simo Hosio
Shin'ichi Konomi,Simo Hosio
Ivan Elhart,Simo Hosio
Florian Alt,Simo Hosio
Miguel Bordallo López,Simo Hosio
Maja Vukovic,Simo Hosio
Simo Hosio,Zhanna Sarsenbayeva
Kaori Fujinami,Susanna Pirttikangas
Juha Röning,Susanna Pirttikangas
Ekaterina Gilman,Susanna Pirttikangas
Susanna Pirttikangas,Teemu Leppänen
Susanna Pirttikangas,Tatsuo Nakajima
Lauri Lovén,Susanna Pirttikangas
Jaakko Suutala,Susanna Pirttikangas
Satu Tamminen,Susanna Pirttikangas
Anja Keskinarkaus,Susanna Pirttikangas
Fahim Kawsar,Susanna Pirttikangas
Mikko Perttunen,Susanna Pirttikangas
Oleksiy Mazhelis,Susanna Pirttikangas
Jussi Collin,Susanna Pirttikangas
Susanna Pirttikangas,Yoshito Tobe
Fengyu Cong,Susanna Pirttikangas
Susanna Pirttikangas,Tapani Ristaniemi
Susanna Pirttikangas,Xiang Su
Shin'ichi Konomi,Susanna Pirttikangas
Jin Nakazawa,Susanna Pirttikangas
Erkki Harjula,Teemu Leppänen
Mika Ylianttila,Teemu Leppänen
Lauri Lovén,Teemu Leppänen
Teemu Leppänen,Yoshito Tobe
Ella Peltonen,Teemu Leppänen
Kaoru Sezaki,Teemu Leppänen
Jiehan Zhou,Teemu Leppänen
Oleksiy Mazhelis,Teemu Leppänen
Mikko J. Sillanpaa,Teemu Leppänen
Ekaterina Gilman,Teemu Leppänen
Giancarlo Fortino,Teemu Leppänen
Claudio Savaglio,Teemu Leppänen
Ijaz Ahmad,Teemu Leppänen
Teemu Leppänen,Xiang Su
Iván Sánchez Milara,Teemu Leppänen
Mihai Bâce,Teemu Leppänen
Abhinay Pandya,Teemu Leppänen
Andrei Gurtov,Mika Ylianttila
Erkki Harjula,Mika Ylianttila
Jiehan Zhou,Mika Ylianttila
Mika Ylianttila,Timo Koskela
Kaveh Pahlavan,Mika Ylianttila
Mika Ylianttila,Pardeep kumar
Mika Ylianttila,Zhonghong Ou
Meirong Liu,Mika Ylianttila
Marius Bilasco,Mika Ylianttila
Mika Ylianttila,Rautiainen Mika
Kumaripaba Miyurusara Athukorala,Mika Ylianttila
Adlen KSENTINI,Tarik Taleb
"Nei Kato(IEEE Fellow, IEICE Fellow)",Tarik Taleb
Konstantinos Samdanis,Tarik Taleb
"Abbas Jamalipour, Fellow IEEE, Fellow IEICE, Fellow IEA",Tarik Taleb
Min Chen,Tarik Taleb
Tarik Taleb,Victor C. M. Leung
Stefan Schmid,Tarik Taleb
Tarik Taleb,Xiaofei Wang
Tarik Taleb,Yassine Hadjadj-Aoul
Nidal Nasser,Tarik Taleb
Tarik Taleb,Zubair Md. Fadlullah
Riku Jantti,Tarik Taleb
Marius Corici,Tarik Taleb
Khaled B. Letaief,Tarik Taleb
Farid Nait-Abdesselam,Tarik Taleb
Essaid Sabir,Tarik Taleb
Ehssan Sakhaee,Tarik Taleb
Midou Nafaa,Tarik Taleb
Juan Carlos Fernandez,Tarik Taleb
Brahim Bensaou,Tarik Taleb
Elja Arjas,Mikko J. Sillanpaa
Mikko J. Sillanpaa,Zitong Li
Esa Mäntysaari,Mikko J. Sillanpaa
Dario Gasbarra,Mikko J. Sillanpaa
Bob O'Hara,Mikko J. Sillanpaa
Madhuchhanda Bhattacharjee,Mikko J. Sillanpaa
Ismo Stranden,Mikko J. Sillanpaa
Crispin M. Mutshinda,Mikko J. Sillanpaa
Makgahlela,Mikko J. Sillanpaa
Mikko J. Sillanpaa,Outi Savolainen
Mikko J. Sillanpaa,ritsert jansen
Jari Iinatti,Matti Hämäläinen
Attaphongse Taparugssanagorn,Jari Iinatti
Carlos Pomalaza-Raez,Jari Iinatti
Jari Iinatti,Matti Latva-aho
Dr. (Tech) Juha Petäjäjärvi,Jari Iinatti
Jari Iinatti,Konstantin Mikhaylov
Heikki Karvonen,Jari Iinatti
Jari Iinatti,Markus Berg
Jari Iinatti,Simone Soderi
Jari Iinatti,Katz Marcos
Andrei Gurtov,Jari Iinatti
Jari Iinatti,Jussi Haapola
Jari Iinatti,Pardeep kumar
Alberto Rabbachin,Jari Iinatti
Jari Iinatti,"Jämsä, Timo"
Erkki Salonen,Jari Iinatti
Jari Iinatti,Tapio Seppänen
Janne Janhunen,Jari Iinatti
Jari Iinatti,Mika Ylianttila
Jari Iinatti,Jorma Lilleberg
Erkki Harjula,Ijaz Ahmad
Erkki Harjula,Tanesh Kumar
Erkki Harjula,Pawani Porambage
Erkki Harjula,Jiehan Zhou
Erkki Harjula,Lauri Lovén
Erkki Harjula,Jaakko Sauvola
Andrei Gurtov,Erkki Harjula
Erkki Harjula,Madhusanka Liyanage
Ella Peltonen,Erkki Harjula
Erkki Harjula,Susanna Pirttikangas
Erkki Harjula,Jussi Haapola
Bennis Mehdi,Erkki Harjula
Erkki Harjula,Tarik Taleb
Erkki Harjula,Jari Iinatti
Madhusanka Liyanage,Mika Ylianttila
Andrei Gurtov,Madhusanka Liyanage
An Braeken,Madhusanka Liyanage
Madhusanka Liyanage,Pawani Porambage
Madhusanka Liyanage,Pardeep kumar
Madhusanka Liyanage,Tharaka Mawanane Hewa
ANCA  DELIA JURCUT,Madhusanka Liyanage
Edgardo Montes de Oca,Madhusanka Liyanage
Dr. Anshuman Kalla,Madhusanka Liyanage
Madhusanka Liyanage,Yushan Siriwardhana
Gurkan Gur,Madhusanka Liyanage
Guillaume Jourjon,Madhusanka Liyanage
Aruna Seneviratne,Madhusanka Liyanage
Kanchana Thilakarathna,Madhusanka Liyanage
Madhusanka Liyanage,salil kanhere
Madhusanka Liyanage,Pasika Sashmal Ranaweera
Madhusanka Liyanage,Tarik Taleb
Madhusanka Liyanage,Matti Latva-aho
Madhusanka Liyanage,Raaj Anand Mishra
Matti Latva-aho,Pekka Pirinen
Pekka Pirinen,Petri Luoto
Le-Nam Tran,Pekka Pirinen
Bennis Mehdi,Pekka Pirinen
Pekka Pirinen,Sumudu Samarakoon
Jari Iinatti,Pekka Pirinen
Ayotunde Oluwaseun Laiyemo,Pekka Pirinen
Matti Hämäläinen,Pekka Pirinen
Pekka Pirinen,Vinh Phan
Dario Sabella,Pekka Pirinen
Attaphongse Taparugssanagorn,Matti Hämäläinen
Antti Tölli,Markku Juntti
Antti Tölli,Matti Latva-aho
Antti Tölli,Marian Codreanu
Antti Tölli,Harri Pennanen
Antti Tölli,Le-Nam Tran
Antti Tölli,Tommy Svensson
Antti Tölli,Ganesh Venkatraman
Antti Tölli,Nandana Rajatheva
Antti Tölli,MohammadJavad Salehi
Afif Osseiran,Antti Tölli
Antti Tölli,Jose F. Monserrat
Antti Tölli,Praneeth Jayasinghe
Antti Tölli,Muhammad Fainan Hanif
Antti Tölli,Michael Honig
Antti Tölli,Mikko Valkama
Antti Tölli,Lars Thiele
Antti Tölli,Babak Khalaj
Antti Tölli,Emil Björnson
Antti Tölli,Randall Berry
Antti Tölli,José Antonio Cortés Arrabal
Markku Juntti,Matti Latva-aho
Le-Nam Tran,Markku Juntti
Janne Lehtomäki,Markku Juntti
Marian Codreanu,Markku Juntti
Joonas Kokkoniemi,Markku Juntti
Joseph R. Cavallaro,Markku Juntti
Markku Juntti,Quang-Doanh Vu
Jiguang He,Markku Juntti
Markku Juntti,Olli Silven
Jorma Lilleberg,Markku Juntti
Markku Juntti,Markus Leinonen
Janne Janhunen,Markku Juntti
Markku Juntti,Shahriar Shahabuddin
Markku Juntti,mikko Vehkapera
Markku Juntti,Muhammad Fainan Hanif
Björn Ottersten,Markku Juntti
Markku Juntti,Mikko Valkama
Jani Boutellier,Markku Juntti
Markku Juntti,Mats Bengtsson
Hirley Alves,Matti Latva-aho
Hirley Alves,Richard Demo Souza
Hirley Alves,Onel Luis Alcaraz López
Hirley Alves,Pedro H. J. Nardelli
Carlos H. M. de Lima,Hirley Alves
Evelio M. G. Fernandez,Hirley Alves
Glauber Brante,Hirley Alves
Daniel Benevides da Costa,Hirley Alves
Bennis Mehdi,Hirley Alves
Hirley Alves,Merouane Debbah
Hirley Alves,José Cândido Silveira Santos Filho
Hirley Alves,Marcelo Eduardo Pellenz
Ari Pouttu,Hirley Alves
Gustavo Fraidenraich,Hirley Alves
Hirley Alves,Paulo Cardieri
Hirley Alves,Markku Juntti
Hirley Alves,Walid Saad
Juha  Kostamovaara,Timo Rahkonen
Janne P. Aikio,Timo Rahkonen
Aarno Pärssinen,Timo Rahkonen
Christian Schuss,Timo Rahkonen
Antti Mäntyniemi,Timo Rahkonen
Olli Kursu,Timo Rahkonen
Marko Neitola,Timo Rahkonen
Kimmo Leppänen,Timo Rahkonen
Timo Rahkonen,Tore Leikanger
Pietro Andreani,Timo Rahkonen
Caren Tischendorf,Timo Rahkonen
Michael Günther,Timo Rahkonen
Timo Rahkonen,Tomohiro Kuroda
Matti Latva-aho,Nandana Rajatheva
Chintha Tellambura,Nandana Rajatheva
Nandana Rajatheva,Prathapasinghe Dharmawansa
Nandana Rajatheva,Samad Ali
Nandana Rajatheva,Tachporn Sanguanpuak
Nandana Rajatheva,Nuwan Ferdinand
Keeth Saliya Jayasinghe,Nandana Rajatheva
Nandana Rajatheva,Sanjeewa Herath
Anil Fernando,Nandana Rajatheva
Hlaing Minn,Nandana Rajatheva
Nandana Rajatheva,Sudarshan Guruacharya
Nandana Rajatheva,Saman Atapattu
Nandana Rajatheva,Slimane Ben Slimane
Nandana Rajatheva,Walid Saad
Haroon Rasheed,Nandana Rajatheva
Gabor Fodor,Nandana Rajatheva
Nandana Rajatheva,Raza Ali Shah
Nandana Rajatheva,Yusheng Ji
Nandana Rajatheva,Praneeth Jayasinghe
Janne Lehtomäki,Kenta Umebayashi
Janne Lehtomäki,Joonas Kokkoniemi
Janne Lehtomäki,Zaheer Khan
Janne Lehtomäki,Miguel López-Benítez
Janne Lehtomäki,Luiz DaSilva
Janne Lehtomäki,Matti Latva-aho
Ekram Hossain,Janne Lehtomäki
Alexandros-Apostolos A. Boulogeorgos,Janne Lehtomäki
Angeliki Alexiou,Janne Lehtomäki
Dmitri Moltchanov,Janne Lehtomäki
Janne Lehtomäki,Vitaly Petrov
Carlos Pomalaza-Raez,Janne Lehtomäki
Alan Marshall,Janne Lehtomäki
IAN  F.  AKYILDIZ,Janne Lehtomäki
Ahmet Ozan Bicen,Janne Lehtomäki
Janne Lehtomäki,Marja Matinmikko-Blue
Ian Oppermann,Janne Lehtomäki
Janne Lehtomäki,Marko Höyhtyä
Marianne Kinnula,Netta Iivari
Isomursu Minna,Marianne Kinnula
Heidi Hartikainen,Marianne Kinnula
Marianne Kinnula,Sari Laari-Salmela
Karin Väyrynen,Marianne Kinnula
Marianne Kinnula,Pekka Isomursu
Fanny Vainionpää,Marianne Kinnula
Leena Ventä-Olkkonen,Marianne Kinnula
Marianne Kinnula,Veikko Seppänen
Atte Kinnula,Marianne Kinnula
Behnaz Norouzi,Marianne Kinnula
Iván Sánchez Milara,Marianne Kinnula
Marianne Kinnula,Sofia Papavlasopoulou
Kari Kuutti,Marianne Kinnula
Dimitra Christidou,Marianne Kinnula
Iro Voulgari,Marianne Kinnula
Marianne Kinnula,Sumita Sharma
Jukka Riekki,Marianne Kinnula
Claudia Liliana Zúñiga-Cañón,Marianne Kinnula
Arto Lanamäki,Marianne Kinnula
Jaakko Suutala,Juha Röning
Dr. (tech) Tuomo Alasalmi,Jaakko Suutala
Dennis A Roberson,Jaakko Suutala
Jaakko Suutala,Kaori Fujinami
Jaakko Suutala,Marko Höyhtyä
Jaakko Suutala,Marja Matinmikko-Blue
Jaakko Suutala,Juha Kalliovaara
Heli Koskimäki,Jaakko Suutala
Andre Bourdoux,Jaakko Suutala
Jaakko Suutala,Rafael Berkvens
Carlos H. M. de Lima,Jaakko Suutala
Jaakko Suutala,Maxime Guillaud
Jaakko Suutala,Tachporn Sanguanpuak
Jaakko Suutala,"Muhammad Reza Kahar Aziz, PhD"
Jaakko Suutala,Tommy Svensson
Barend van Liempd,Jaakko Suutala
Hadi Sarieddeen,Jaakko Suutala
Andre Noll Barreto,Jaakko Suutala
Italo Atzeni,Luis G. Ordóñez
Italo Atzeni,Javier R. Fonollosa
Daniel P. Palomar,Italo Atzeni
Gesualdo Scutari,Italo Atzeni
Italo Atzeni,Marios Kountouris
Italo Atzeni,Jesús Arnau
Antti Tölli,Italo Atzeni
Italo Atzeni,Marco Maso
Italo Atzeni,Merouane Debbah
David Gesbert,Italo Atzeni
George C. Alexandropoulos,Italo Atzeni
Italo Atzeni,Stefano Buzzi
Italo Atzeni,Nandana Rajatheva
Emil Björnson,Italo Atzeni
Italo Atzeni,Tommy Svensson
Italo Atzeni,Josep Miquel Jornet
Italo Atzeni,Placido Mursia
Ejder Baştuğ,Italo Atzeni
Italo Atzeni,Mari Kobayashi
Italo Atzeni,Laura Cottatellucci
Guoying Zhao,Matti Pietikäinen
Guoying Zhao,Xiaopeng HONG (洪晓鹏)
Guoying Zhao,Jie Chen
Guoying Zhao,Xiaobai Li
Guoying Zhao,Timo Ahonen
Guoying Zhao,Xin Liu 刘鑫
Guoying Zhao,Vili Kellokumpu
Guoying Zhao,"Su-Jing Wang, 王甦菁"
Guoying Zhao,Wenming Zheng
Guoying Zhao,Ziheng Zhou
Guoying Zhao,Xilin Chen
Guoying Zhao,Tomas Pfister
Guoying Zhao,Wen-Jing Yan
Guoying Zhao,Stan Z. Li (李子青)
Guoying Zhao,Wei Peng
Guoying Zhao,Shiguang Shan
Guoying Zhao,Jingang Shi
Guoying Zhao,Stefanos Zafeiriou
Guoying Zhao,Wen Gao（高文）
Chu HE,Guoying Zhao
Carlos Pomalaza-Raez,Jussi Haapola
Alberto Rabbachin,Jussi Haapola
Ian Oppermann,Jussi Haapola
Jussi Haapola,Matti Hämäläinen
Ari Pouttu,Jussi Haapola
Jussi Haapola,"Lucian Stoica, L. Stoica"
Hamada Almasalma,Jussi Haapola
Geert Deconinck,Jussi Haapola
Jussi Haapola,Konstantin Mikhaylov
Heikki Karvonen,Jussi Haapola
Jianzhong Wu,Jussi Haapola
Jesus Alonso-Zarate,Jussi Haapola
Jussi Haapola,Nandana Rajatheva
Jussi Haapola,Samad Ali
Junaid Ansari,Jussi Haapola
Jussi Haapola,Petri Ahokangas
Jussi Haapola,Maria Kopsakangas-Savolainen
Jussi Haapola,Tharaka Samarasinghe
Janne Riihijärvi,Jussi Haapola
Matti Latva-aho,Onel Luis Alcaraz López
Onel Luis Alcaraz López,Richard Demo Souza
Evelio M. G. Fernandez,Onel Luis Alcaraz López
Onel Luis Alcaraz López,Samuel Montejo Sánchez
Glauber Brante,Onel Luis Alcaraz López
Arliones Hoeller,Onel Luis Alcaraz López
Diana Pamela Moya Osorio,Onel Luis Alcaraz López
Onel Luis Alcaraz López,Pedro H. J. Nardelli
Mohammad Shehab,Onel Luis Alcaraz López
Marcelo Eduardo Pellenz,Onel Luis Alcaraz López
Onel Luis Alcaraz López,Samuel Baraldi Mafra
Constantinos B. Papadias,Onel Luis Alcaraz López
Abid Yahya,Onel Luis Alcaraz López
Leatile  Marata,Onel Luis Alcaraz López
Mikko A. Uusitalo,Onel Luis Alcaraz López
Onel Luis Alcaraz López,Parisa Nouri
Binod Kharel,Onel Luis Alcaraz López
IRFAN MUHAMMAD,Onel Luis Alcaraz López
Edgar Eduardo Benítez Olivo,Onel Luis Alcaraz López
Bennis Mehdi,Sumudu Samarakoon
Matti Latva-aho,Sumudu Samarakoon
Merouane Debbah,Sumudu Samarakoon
Sumudu Samarakoon,Walid Saad
Jihong Park,Sumudu Samarakoon
Petri Luoto,Sumudu Samarakoon
Chen-Feng Liu,Sumudu Samarakoon
Mohamed K. Abdel-Aziz,Sumudu Samarakoon
Anis Elgabli,Sumudu Samarakoon
Hamza Khan,Sumudu Samarakoon
Cristina Perfecto,Sumudu Samarakoon
Choong Seon Hong,Sumudu Samarakoon
Mohammed S. Elbamby,Sumudu Samarakoon
Sumudu Samarakoon,Xianfu Chen
Sumudu Samarakoon,Takayuki Nishio
Hamid Shiri,Sumudu Samarakoon
S Tamoor-ul-Hassan,Sumudu Samarakoon
HV Poor,Sumudu Samarakoon
Nandana Rajatheva,Sumudu Samarakoon
Janne Heikkilä,Olli Silven
Jani Boutellier,Olli Silven
Jari Hannuksela,Olli Silven
Matti Pietikäinen,Olli Silven
Miguel Bordallo López,Olli Silven
Janne Janhunen,Olli Silven
Olli Silven,Pekka Sangi
Marius Tico,Olli Silven
Jarmo Takala,Olli Silven
Olli Silven,Osmo Tervonen
Olli Silven,Teemu Nyländen
Olli Silven,Shahriar Shahabuddin
Olli Silven,Shuvra S. Bhattacharyya
Amanullah Ghazi,Olli Silven
Jiguang He,Olli Silven
Mattavelli Marco,Olli Silven
Johan Lilius,Olli Silven
Mickaël Raulet,Olli Silven
Olli Silven,Pekka Jääskeläinen
Abdenour Hadid,Matti Pietikäinen
Matti Pietikäinen,Timo Ahonen
Jie Chen,Matti Pietikäinen
Jaakko Sauvola,Matti Pietikäinen
Matti Pietikäinen,Xiaopeng HONG (洪晓鹏)
Li Liu,Matti Pietikäinen
Matti Pietikäinen,Stan Z. Li (李子青)
Matti Pietikäinen,Vili Kellokumpu
Jukka Komulainen (né Määttä),Matti Pietikäinen
Matti Pietikäinen,Xiaobai Li
Matti Pietikäinen,Paul Fieguth
Matti Pietikäinen,Tapio Seppänen
Matti Pietikäinen,Ziheng Zhou
Matti Pietikäinen,Tomas Pfister
J.Birgitta Martinkauppi,Matti Pietikäinen
Maricor Soriano,Matti Pietikäinen
Matti Pietikäinen,Xilin Chen
Jari Hannuksela,Miguel Bordallo López
Elhocine Boutellaa,Miguel Bordallo López
Jani Boutellier,Miguel Bordallo López
Jorge Goncalves,Miguel Bordallo López
Jerome Thevenot,Miguel Bordallo López
Miguel Bordallo López,Vassilis Kostakos
Marius Tico,Miguel Bordallo López
Miguel Bordallo López,Niels van Berkel
Eric Granger,Miguel Bordallo López
Constantino Álvarez Casado,Miguel Bordallo López
Jonas Oppenlaender,Miguel Bordallo López
Andy Alorwu,Miguel Bordallo López
Miguel Bordallo López,Wheidima Carneiro de Melo
Juha Ylioinas,Miguel Bordallo López
Carlos R. del Blanco,Miguel Bordallo López
Miguel Bordallo López,Riku Hietaniemi
Matti Pietikäinen,Miguel Bordallo López
Jukka Holappa,Miguel Bordallo López
Jukka Kortelainen,Tapio Seppänen
Hasan Al-Nashash,Jukka Kortelainen
Angelo H. ALL,Jukka Kortelainen
Jukka Kortelainen,Miika Koskinen
Jukka Kortelainen,Kai Noponen
Ashwati Vipin,Jukka Kortelainen
Jukka Kortelainen,Matti Pietikäinen
Jukka Kortelainen,Xiaobai Li
Jukka Kortelainen,Osmo Tervonen
Jukka Kortelainen,"Xiaofeng Jia, MD, MS, PhD, FCCM, Professor"
Janani Manivannan,Jukka Kortelainen
Jukka Kortelainen,Seppo J. Laukka
Guoying Zhao,Jukka Kortelainen
Antti J. Moilanen,Jukka Kortelainen
Janne Backman,Jukka Kortelainen
Jukka Kortelainen,Timo Ojala
Ignacio Delgado-Martinez,Jukka Kortelainen
Jukka Kortelainen,Shih-Cheng Yen
Anu Pramila,Jukka Kortelainen
Jukka Kortelainen,Nitish Thakor
Jouni Markkula,Markku Oivo
Markku Oivo,Pilar Rodríguez
Markku Oivo,Muhammad Ovais Ahmad
Lucy Ellen Lwakatare,Markku Oivo
Burak Turhan,Markku Oivo
Markku Oivo,Teemu Karvonen
Guenther Ruhe,Markku Oivo
Davide Fucci,Markku Oivo
Dietmar Pfahl,Markku Oivo
Mandic Vladimir (Mandić Vladimir),Markku Oivo
Markku Oivo,Rini van Solingen (@solingen)
Jouni Similä,Markku Oivo
Jan Bosch,Markku Oivo
Markku Oivo,V Basili
Markku Oivo,Veikko Seppänen
Jouni Markkula,Muhammad Ovais Ahmad
Jari Veijalainen,Jouni Markkula
Jouni Markkula,Kari Liukkunen
Jouni Markkula,Pilar Rodríguez
Jouni Markkula,Vagan Terziyan
Jouni Markkula,Jussi Koskinen
Jouni Markkula,Oleksiy Mazhelis
Jouni Markkula,Nebojša Taušan
Jouni Markkula,Mandic Vladimir (Mandić Vladimir)
Jouni Markkula,Sandun Dasanayake
Aphrodite Tsalgatidou,Jouni Markkula
Jouni Markkula,Marikka Heikkila
Jouni Markkula,V Basili
Jouni Markkula,Jouni Similä
Jouni Markkula,Jukka 'Jups' Heikkilä
Jeffrey C. Carver,Jouni Markkula
Jouni Markkula,"Sedef Akinli Kocak, PhD"
Hadi Ghanbari,Jouni Markkula
Jarkko Hyysalo,Jouni Markkula
Jouni Markkula,Juan Garbajosa
Isomursu Minna,Pekka Isomursu
Isomursu Minna,Kaisa Still
Isomursu Minna,Jonna Hakkila
Isomursu Minna,Marja Harjumaa
Isomursu Minna,Kari Kuutti
Isomursu Minna,Jani Mäntyjärvi
Heikki Ailisto,Isomursu Minna
Isomursu Minna,Maria Karampela
Isomursu Minna,Karin Väyrynen
Isomursu Minna,Jukka Huhtamäki
Isomursu Minna,Jan Blom
Isomursu Minna,Sofia Ouhbi
Casandra Grundstrom,Isomursu Minna
Isomursu Minna,Leena Ventä-Olkkonen
Isomursu Minna,Vasiliki Mylonopoulou
Casper Lassenius,Mika Mäntylä
Juha Itkonen,Mika Mäntylä
Miikka Kuutila,Mika Mäntylä
Mika Mäntylä,Vahid Garousi
Jari Vanhanen,Mika Mäntylä
Maëlick Claes,Mika Mäntylä
Bram Adams,Mika Mäntylä
Mika Mäntylä,Timo O.A. Lehtinen
Kai Petersen,Mika Mäntylä
Michael Felderer,Mika Mäntylä
Daniel Graziotin,Mika Mäntylä
Mika Mäntylä,Päivi Raulamo-Jurvanen
Mika Mäntylä,Umar Farooq
Marco Zanoni,Mika Mäntylä
Francesca Arcelli Fontana,Mika Mäntylä
Emelie Engström,Mika Mäntylä
Dietmar Pfahl,Mika Mäntylä
Giuseppe Destefanis,Mika Mäntylä
Marco Ortu,Mika Mäntylä
Burak Turhan,Mika Mäntylä
Pasi Tyrväinen,Tero Päivärinta
Airi Salminen,Tero Päivärinta
Kari Smolander,Tero Päivärinta
Tero Päivärinta,Øystein Sæbø
Bjørn Erik Munkvold,Tero Päivärinta
Leif Skiftenes Flak,Tero Päivärinta
Samuli Pekkola,Tero Päivärinta
Jon Iden,Tero Päivärinta
Bjørnar Tessem,Tero Päivärinta
Ali Padyab,Tero Päivärinta
Johan Magnusson,Tero Päivärinta
Carl Erik Moe,Tero Päivärinta
Maung Sein,Tero Päivärinta
Qing Hu,Tero Päivärinta
Juhani Iivari,Tero Päivärinta
Tero Päivärinta,Tom Roar Eikebrokk
Jane Elisabeth Frisk,Tero Päivärinta
Tero Päivärinta,Urban Ask
Carl-Mikael Lönn,Tero Päivärinta
Peter Axel Nielsen,Tero Päivärinta
Ayşe (Bener) Başar,Burak Turhan
Burak Turhan,Tim Menzies
Ayşe Tosun,Burak Turhan
Burak Turhan,Natalia Juristo
Burak Turhan,Davide Fucci
Bora Caglayan,Burak Turhan
Burak Turhan,Ekrem Kocaguneli
Bojan Cukic,Burak Turhan
Burak Turhan,Leandro Minku
Burak Turhan,Fayola Peters
Burak Turhan,Rebvar Hosseini
Burak Turhan,Giuseppe Scanniello
Burak Turhan,Pilar Rodríguez
Burak Turhan,Lucas Layman
Burak Turhan,Forrest Shull
Burak Turhan,Thomas Zimmermann
Burak Turhan,Hakan Erdogmus
Burak Turhan,Davide Falessi
Burak Turhan,Gregory Gay
Isomursu Minna,Olli Korhonen
